40	1	1
20	5	3
33	2	2
42	2	2
21	23	22
6	1	1
5	4	4
8	2	2
42	3	3
5	1	1
33	4	4
9	1	1
50	3	3
99	51	45
13	1	1
67	4	4
10	6	6
22	1	1
22	2	2
7	3	3
98	1	1
10	2	2
37	2	2
4	1	1
30	1	1
8	3	3
10	2	2
7	3	2
97	5	5
9	3	3
2	1	1
97	7	6
82	1	1
25	3	3
16	3	3
5	1	1
1	2	2
4	2	1
6	1	1
5	1	1
50	2	2
44	12	12
30	4	3
26	3	3
5	3	3
12	6	5
41	1	1
29	2	2
12	1	1
22	2	2
23	7	7
5	1	1
26	1	1
67	1	1
76	3	3
79	4	4
3	1	1
24	5	5
12	9	8
13	2	2
69	6	6
40	1	1
23	1	1
29	1	1
5	1	1
8	1	1
1	1	1
63	2	2
4	5	5
47	2	2
23	1	1
93	3	4
12	3	3
43	2	2
22	27	28
47	2	2
3	3	3
3	1	1
4	1	1
56	3	3
10	2	2
35	1	1
12	3	3
2	2	2
33	2	2
4	4	4
59	4	4
14	1	1
1	5	5
9	1	1
30	2	2
37	2	2
74	5	5
63	2	2
10	1	1
53	2	2
26	4	3
100	2	3
8	2	2
6	31	31
36	4	4
9	1	1
91	1	1
9	4	4
4	4	4
8	5	5
68	3	3
66	7	6
26	65	65
13	4	4
53	7	5
36	1	1
3	1	1
5	2	2
24	44	49
4	3	2
10	2	2
2	5	5
80	4	4
9	1	1
16	1	1
59	2	2
83	2	2
70	5	5
13	2	2
50	11	12
16	1	1
45	3	3
4	2	2
64	2	2
25	1	1
39	4	3
5	1	1
51	1	1
50	4	4
23	1	1
59	2	2
2	1	1
20	6	6
7	2	2
50	1	1
26	2	2
53	2	2
8	1	1
19	1	1
5	2	2
3	2	2
18	1	2
9	3	2
17	1	1
1	2	2
24	4	4
25	11	9
45	5	3
7	1	1
5	2	2
3	1	1
9	1	1
14	2	2
41	3	3
33	2	2
9	1	1
10	1	1
3	1	1
37	1	1
13	1	1
84	3	3
7	6	7
13	44	40
36	1	1
17	3	3
36	2	2
6	2	2
7	3	3
5	19	19
29	2	2
15	1	1
84	3	2
4	2	2
13	18	19
29	1	1
46	1	1
4	1	1
3	2	2
2	8	8
9	2	2
17	3	4
85	5	5
34	1	1
10	3	3
49	3	3
72	1	1
4	10	10
86	42	42
17	4	4
49	2	2
7	2	2
48	2	3
11	5	5
17	1	1
55	3	3
20	5	5
22	1	1
8	6	6
46	9	9
12	2	2
19	1	1
29	1	1
64	2	2
44	5	5
53	60	53
3	2	2
7	2	2
8	1	1
20	2	2
38	3	3
30	1	1
20	3	3
22	3	3
4	1	1
16	1	1
8	40	39
25	1	1
35	2	2
20	8	8
60	1	1
11	1	1
24	1	1
19	1	1
27	4	4
4	4	5
7	1	1
16	2	2
10	1	1
14	3	3
10	1	1
5	1	1
10	10	10
26	3	3
5	4	4
18	2	2
37	4	4
6	1	1
19	1	1
24	2	2
46	10	10
20	1	1
61	4	4
49	2	2
73	4	4
19	2	2
16	2	2
1	1	1
32	3	3
11	1	1
35	4	4
4	1	1
34	2	2
76	4	4
33	6	6
22	12	12
14	3	3
73	2	2
5	1	1
60	3	4
